image,image_id,split,source,od_x,od_y,fovea_x,fovea_y
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_115.jpg,IDRiD_115,train,idrid,835,1284,2184,1498
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_116.jpg,IDRiD_116,train,idrid,2888,1419,1532,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_117.jpg,IDRiD_117,train,idrid,955,1426,2349,1689
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_118.jpg,IDRiD_118,train,idrid,2746,1348,1483,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_119.jpg,IDRiD_119,train,idrid,3001,1415,1798,1475
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_120.jpg,IDRiD_120,train,idrid,2840,1617,1513,1520
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_121.jpg,IDRiD_121,train,idrid,865,1187,2315,1325
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_122.jpg,IDRiD_122,train,idrid,898,1411,2199,1647
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_123.jpg,IDRiD_123,train,idrid,891,1217,2244,1378
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_124.jpg,IDRiD_124,train,idrid,3117,1584,1738,1857
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_125.jpg,IDRiD_125,train,idrid,3428,1670,2158,1726
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_126.jpg,IDRiD_126,train,idrid,513,1400,1697,1389
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_127.jpg,IDRiD_127,train,idrid,1198,1374,2652,1588
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_128.jpg,IDRiD_128,train,idrid,2858,1543,1532,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_129.jpg,IDRiD_129,train,idrid,2708,1381,1513,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_130.jpg,IDRiD_130,train,idrid,737,1261,1940,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_131.jpg,IDRiD_131,train,idrid,846,1599,2135,1719
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_132.jpg,IDRiD_132,train,idrid,2933,1438,1521,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_133.jpg,IDRiD_133,train,idrid,685,1160,1989,1321
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_134.jpg,IDRiD_134,train,idrid,614,1232,1802,1411
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_135.jpg,IDRiD_135,train,idrid,3068,1655,1824,1719
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_136.jpg,IDRiD_136,train,idrid,3023,1400,1678,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_137.jpg,IDRiD_137,train,idrid,704,1250,2045,1366
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_138.jpg,IDRiD_138,train,idrid,2997,1752,1779,1644
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_139.jpg,IDRiD_139,train,idrid,940,1378,2319,1719
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_140.jpg,IDRiD_140,train,idrid,3057,1670,1667,1857
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_141.jpg,IDRiD_141,train,idrid,1206,1127,2540,1299
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_142.jpg,IDRiD_142,train,idrid,3274,1543,2094,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_143.jpg,IDRiD_143,train,idrid,891,1089,2056,1217
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_144.jpg,IDRiD_144,train,idrid,981,1340,2367,1569
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_145.jpg,IDRiD_145,train,idrid,2828,1295,1517,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_146.jpg,IDRiD_146,train,idrid,2990,1258,1914,1370
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_147.jpg,IDRiD_147,train,idrid,1056,1558,2146,1599
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_148.jpg,IDRiD_148,train,idrid,2930,1100,1948,1378
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_149.jpg,IDRiD_149,train,idrid,947,696,2026,999
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_150.jpg,IDRiD_150,train,idrid,3132,1340,1884,1336
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_151.jpg,IDRiD_151,train,idrid,681,1273,1865,1411
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_152.jpg,IDRiD_152,train,idrid,3035,1599,1727,1741
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_153.jpg,IDRiD_153,train,idrid,3064,1756,1715,1985
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_154.jpg,IDRiD_154,train,idrid,745,1490,2101,1737
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_155.jpg,IDRiD_155,train,idrid,775,898,1873,1224
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_156.jpg,IDRiD_156,train,idrid,981,1475,2360,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_157.jpg,IDRiD_157,train,idrid,2907,1273,1625,1456
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_158.jpg,IDRiD_158,train,idrid,3124,1539,1757,1659
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_159.jpg,IDRiD_159,train,idrid,3244,1340,1772,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_160.jpg,IDRiD_160,train,idrid,2761,1546,1502,1779
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_161.jpg,IDRiD_161,train,idrid,2967,1617,1517,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_162.jpg,IDRiD_162,train,idrid,1015,1550,2334,1647
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_163.jpg,IDRiD_163,train,idrid,797,1812,2053,2041
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_164.jpg,IDRiD_164,train,idrid,2960,1306,1843,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_165.jpg,IDRiD_165,train,idrid,726,1569,1787,1790
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_166.jpg,IDRiD_166,train,idrid,1063,1168,2364,1329
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_167.jpg,IDRiD_167,train,idrid,3443,1696,2158,1662
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_168.jpg,IDRiD_168,train,idrid,599,969,1880,1265
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_169.jpg,IDRiD_169,train,idrid,2918,1550,1434,1655
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_170.jpg,IDRiD_170,train,idrid,711,1707,2086,1659
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_171.jpg,IDRiD_171,train,idrid,3102,1617,1824,1973
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_172.jpg,IDRiD_172,train,idrid,3016,1445,1618,1490
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_173.jpg,IDRiD_173,train,idrid,2832,1363,1652,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_174.jpg,IDRiD_174,train,idrid,940,1468,2169,1692
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_175.jpg,IDRiD_175,train,idrid,3218,1284,2049,1408
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_176.jpg,IDRiD_176,train,idrid,1075,1558,2360,1655
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_177.jpg,IDRiD_177,train,idrid,2982,1730,1592,1842
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_178.jpg,IDRiD_178,train,idrid,2787,1449,1524,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_179.jpg,IDRiD_179,train,idrid,1026,1389,2386,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_180.jpg,IDRiD_180,train,idrid,1464,1194,2705,1374
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_181.jpg,IDRiD_181,train,idrid,711,954,1937,1142
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_182.jpg,IDRiD_182,train,idrid,2795,1284,1532,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_183.jpg,IDRiD_183,train,idrid,1075,1299,2401,1479
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_184.jpg,IDRiD_184,train,idrid,2945,1408,1551,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_185.jpg,IDRiD_185,train,idrid,2997,1865,1745,1959
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_186.jpg,IDRiD_186,train,idrid,1007,1483,2244,1685
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_187.jpg,IDRiD_187,train,idrid,3424,1501,2240,1486
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_188.jpg,IDRiD_188,train,idrid,2840,1531,1506,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_189.jpg,IDRiD_189,train,idrid,2993,1932,1734,1955
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_190.jpg,IDRiD_190,train,idrid,1108,1423,2386,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_191.jpg,IDRiD_191,train,idrid,2918,1333,1521,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_192.jpg,IDRiD_192,train,idrid,951,1408,2367,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_193.jpg,IDRiD_193,train,idrid,2933,1411,1614,1464
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_194.jpg,IDRiD_194,train,idrid,2840,1273,1536,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_195.jpg,IDRiD_195,train,idrid,2802,1153,1554,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_196.jpg,IDRiD_196,train,idrid,2855,1374,1554,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_197.jpg,IDRiD_197,train,idrid,1022,1434,2364,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_198.jpg,IDRiD_198,train,idrid,2798,1411,1479,1513
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_199.jpg,IDRiD_199,train,idrid,1082,1378,2401,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_200.jpg,IDRiD_200,train,idrid,1161,1370,2427,1606
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_201.jpg,IDRiD_201,train,idrid,2783,1333,1528,1520
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_202.jpg,IDRiD_202,train,idrid,2877,1348,1581,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_203.jpg,IDRiD_203,train,idrid,2873,1434,1502,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_204.jpg,IDRiD_204,train,idrid,1093,1348,2427,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_205.jpg,IDRiD_205,train,idrid,2810,1284,1569,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_206.jpg,IDRiD_206,train,idrid,1284,1333,2521,1711
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_207.jpg,IDRiD_207,train,idrid,3064,1498,1757,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_208.jpg,IDRiD_208,train,idrid,1056,1438,2454,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_209.jpg,IDRiD_209,train,idrid,651,1261,2008,1426
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_210.jpg,IDRiD_210,train,idrid,2952,1243,1558,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_211.jpg,IDRiD_211,train,idrid,921,1310,2394,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_212.jpg,IDRiD_212,train,idrid,2881,1419,1521,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_213.jpg,IDRiD_213,train,idrid,2836,1464,1558,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_214.jpg,IDRiD_214,train,idrid,786,1258,2011,1441
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_215.jpg,IDRiD_215,train,idrid,2828,1411,1592,1629
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_216.jpg,IDRiD_216,train,idrid,722,935,2019,1097
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_217.jpg,IDRiD_217,train,idrid,2896,1400,1517,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_218.jpg,IDRiD_218,train,idrid,2712,1453,1581,1528
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_219.jpg,IDRiD_219,train,idrid,1314,1441,2420,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_220.jpg,IDRiD_220,train,idrid,1007,1535,2450,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_221.jpg,IDRiD_221,train,idrid,2806,1404,1517,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_222.jpg,IDRiD_222,train,idrid,1067,1374,2409,1573
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_223.jpg,IDRiD_223,train,idrid,3087,1651,1858,1640
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_224.jpg,IDRiD_224,train,idrid,524,984,2000,1175
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_225.jpg,IDRiD_225,train,idrid,1138,1381,2412,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_226.jpg,IDRiD_226,train,idrid,1097,1220,2435,1483
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_227.jpg,IDRiD_227,train,idrid,2727,1426,1438,1456
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_228.jpg,IDRiD_228,train,idrid,1138,1276,2409,1520
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_229.jpg,IDRiD_229,train,idrid,1108,1321,2439,1513
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_230.jpg,IDRiD_230,train,idrid,985,1344,2431,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_231.jpg,IDRiD_231,train,idrid,2832,1404,1566,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_232.jpg,IDRiD_232,train,idrid,1056,1288,2371,1524
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_233.jpg,IDRiD_233,train,idrid,1165,1486,2424,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_234.jpg,IDRiD_234,train,idrid,767,1408,2150,1573
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_235.jpg,IDRiD_235,train,idrid,2892,1415,1596,1486
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_236.jpg,IDRiD_236,train,idrid,2903,1554,1521,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_237.jpg,IDRiD_237,train,idrid,1322,1202,2776,1318
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_238.jpg,IDRiD_238,train,idrid,1026,1299,2397,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_239.jpg,IDRiD_239,train,idrid,2870,1453,1652,1610
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_240.jpg,IDRiD_240,train,idrid,1120,1558,2439,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_241.jpg,IDRiD_241,train,idrid,1071,1389,2352,1494
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_242.jpg,IDRiD_242,train,idrid,2971,1381,1506,1513
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_243.jpg,IDRiD_243,train,idrid,1090,1449,2405,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_244.jpg,IDRiD_244,train,idrid,1157,1187,2435,1475
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_245.jpg,IDRiD_245,train,idrid,2761,1535,1494,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_246.jpg,IDRiD_246,train,idrid,846,1426,2086,1674
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_247.jpg,IDRiD_247,train,idrid,2735,1438,1524,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_248.jpg,IDRiD_248,train,idrid,1225,1336,2409,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_249.jpg,IDRiD_249,train,idrid,2915,1460,1539,1528
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_250.jpg,IDRiD_250,train,idrid,1082,1273,2412,1524
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_251.jpg,IDRiD_251,train,idrid,1183,1456,2412,1565
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_252.jpg,IDRiD_252,train,idrid,2813,1494,1577,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_253.jpg,IDRiD_253,train,idrid,2510,1355,1547,1569
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_254.jpg,IDRiD_254,train,idrid,3244,1419,2109,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_255.jpg,IDRiD_255,train,idrid,981,1318,2349,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_256.jpg,IDRiD_256,train,idrid,670,812,1955,992
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_257.jpg,IDRiD_257,train,idrid,3117,1516,1910,1647
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_258.jpg,IDRiD_258,train,idrid,1142,1318,2386,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_259.jpg,IDRiD_259,train,idrid,2873,1321,1536,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_260.jpg,IDRiD_260,train,idrid,3346,1306,2165,1366
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_261.jpg,IDRiD_261,train,idrid,1202,1468,2442,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_262.jpg,IDRiD_262,train,idrid,2896,1471,1569,1569
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_263.jpg,IDRiD_263,train,idrid,1078,1408,2382,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_264.jpg,IDRiD_264,train,idrid,1015,1438,2341,1621
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_265.jpg,IDRiD_265,train,idrid,2813,1456,1521,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_266.jpg,IDRiD_266,train,idrid,1090,1453,2431,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_267.jpg,IDRiD_267,train,idrid,1165,1475,2390,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_268.jpg,IDRiD_268,train,idrid,1225,1265,2375,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_269.jpg,IDRiD_269,train,idrid,2855,1423,1502,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_270.jpg,IDRiD_270,train,idrid,1112,1411,2454,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_271.jpg,IDRiD_271,train,idrid,2911,1434,1581,1524
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_272.jpg,IDRiD_272,train,idrid,1101,1498,2454,1610
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_273.jpg,IDRiD_273,train,idrid,2825,1318,1494,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_274.jpg,IDRiD_274,train,idrid,2727,1115,1408,1299
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_275.jpg,IDRiD_275,train,idrid,2682,1498,1558,1569
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_276.jpg,IDRiD_276,train,idrid,2776,1479,1513,1501
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_277.jpg,IDRiD_277,train,idrid,2892,1366,1588,1528
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_278.jpg,IDRiD_278,train,idrid,1086,1318,2394,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_279.jpg,IDRiD_279,train,idrid,700,1198,2000,1411
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_280.jpg,IDRiD_280,train,idrid,2915,1516,1539,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_281.jpg,IDRiD_281,train,idrid,1022,1363,2397,1617
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_282.jpg,IDRiD_282,train,idrid,1090,1254,2412,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_283.jpg,IDRiD_283,train,idrid,2840,1183,1506,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_284.jpg,IDRiD_284,train,idrid,1037,1498,2446,1464
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_285.jpg,IDRiD_285,train,idrid,2911,1528,1562,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_286.jpg,IDRiD_286,train,idrid,1041,1408,2416,1599
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_287.jpg,IDRiD_287,train,idrid,2783,1400,1517,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_288.jpg,IDRiD_288,train,idrid,1135,1213,2405,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_289.jpg,IDRiD_289,train,idrid,2484,2146,1266,2101
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_290.jpg,IDRiD_290,train,idrid,2926,1430,1513,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_291.jpg,IDRiD_291,train,idrid,955,1453,2371,1513
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_292.jpg,IDRiD_292,train,idrid,2810,1355,1596,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_293.jpg,IDRiD_293,train,idrid,2843,1239,1558,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_294.jpg,IDRiD_294,train,idrid,1108,1336,2405,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_295.jpg,IDRiD_295,train,idrid,1090,1524,2379,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_296.jpg,IDRiD_296,train,idrid,655,1119,1903,1261
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_297.jpg,IDRiD_297,train,idrid,1202,1321,2442,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_298.jpg,IDRiD_298,train,idrid,846,1824,2248,2011
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_299.jpg,IDRiD_299,train,idrid,1007,1348,2386,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_300.jpg,IDRiD_300,train,idrid,2795,1531,1551,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_301.jpg,IDRiD_301,train,idrid,2870,1486,1554,1513
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_302.jpg,IDRiD_302,train,idrid,1097,1385,2412,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_303.jpg,IDRiD_303,train,idrid,2900,1333,1614,1411
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_304.jpg,IDRiD_304,train,idrid,1153,1280,2397,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_305.jpg,IDRiD_305,train,idrid,2753,1464,1457,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_306.jpg,IDRiD_306,train,idrid,2907,1498,1521,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_307.jpg,IDRiD_307,train,idrid,2858,1501,1558,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_308.jpg,IDRiD_308,train,idrid,2956,1655,1764,1666
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_309.jpg,IDRiD_309,train,idrid,902,1617,2135,1689
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_310.jpg,IDRiD_310,train,idrid,3038,1730,1603,1880
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_311.jpg,IDRiD_311,train,idrid,1045,1370,2427,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_312.jpg,IDRiD_312,train,idrid,1191,1374,2412,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_313.jpg,IDRiD_313,train,idrid,2941,1393,1532,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_314.jpg,IDRiD_314,train,idrid,887,1276,2308,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_315.jpg,IDRiD_315,train,idrid,2843,1486,1483,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_316.jpg,IDRiD_316,train,idrid,2802,1258,1517,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_317.jpg,IDRiD_317,train,idrid,1086,1426,2427,1524
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_318.jpg,IDRiD_318,train,idrid,1060,1314,2420,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_319.jpg,IDRiD_319,train,idrid,3072,1449,1753,1659
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_320.jpg,IDRiD_320,train,idrid,891,1213,2221,1434
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_321.jpg,IDRiD_321,train,idrid,2997,1205,1637,1351
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_322.jpg,IDRiD_322,train,idrid,3237,1190,1813,1370
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_323.jpg,IDRiD_323,train,idrid,2806,1295,1547,1449
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_324.jpg,IDRiD_324,train,idrid,947,1138,2158,1269
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_325.jpg,IDRiD_325,train,idrid,850,1381,2195,1539
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_326.jpg,IDRiD_326,train,idrid,3173,1509,1877,1565
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_327.jpg,IDRiD_327,train,idrid,647,1310,2060,1441
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_328.jpg,IDRiD_328,train,idrid,1033,1535,2371,1689
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_329.jpg,IDRiD_329,train,idrid,940,1288,2180,1426
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_330.jpg,IDRiD_330,train,idrid,2930,1456,1693,1419
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_331.jpg,IDRiD_331,train,idrid,801,1276,2083,1464
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_332.jpg,IDRiD_332,train,idrid,3248,1333,2000,1423
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_333.jpg,IDRiD_333,train,idrid,767,1423,2056,1632
